lambda,timeout,B,states,probability_sum,effective_arrival_rate,average_buffer,batch_throughput,message_throughput,average_batch_size,queue_waiting_time,total_system_time
0.25,1,3,32,1.000000000000000,0.2496051536970359,0.2384647585240469,0.1974231514820559,0.2496051536970361,1.264315516307231,0.9553679280736690,1.955367928073670
0.25,3,3,32,0.9999999999999997,0.2497067150001211,0.5179873972858983,0.1466424999394366,0.2497067150001211,1.702826364138978,2.074383130968853,3.074383130968853
0.25,5,3,32,1.000000000000000,0.2497585764036261,0.6907248684402312,0.1207117981869656,0.2497585764036260,2.069048594709732,2.765570169346156,3.765570169346156
0.5,1,3,32,1.000000000000000,0.4940171916739424,0.4494221007915900,0.3230716496071091,0.4940171916739421,1.529125790748652,0.9097296781692048,1.909729678169204
0.5,3,3,32,1.000000000000000,0.4958683577014374,0.7686249519004155,0.2231086841223781,0.4958683577014372,2.222541716168461,1.550058478147954,2.550058478147955
0.5,5,3,32,1.000000000000000,0.4965051111488644,0.9056054125394437,0.1887239979613240,0.4965051111488645,2.630853079164926,1.823959899312942,2.823959899312942
1,1,3,32,0.9999999999999999,0.9406442584773278,0.7934381489705791,0.4748459321813768,0.9406442584773281,1.980946228508556,0.8435050145896396,1.843505014589640
1,3,3,32,1.000000000000000,0.9565799334124748,1.018417275907634,0.3473605327002013,0.9565799334124745,2.753853254359430,1.064644197871225,2.064644197871225
1,5,3,32,1.000000000000000,0.9593880018262327,1.068109486369398,0.3248959853901380,0.9593880018262328,2.952908145892265,1.113323790099740,2.113323790099741
2,1,3,32,1.000000000000000,1.621635006877915,1.267587151452952,0.6384909258935191,1.621635006877914,2.539793348838216,0.7816722912842140,1.781672291284213
2,3,3,32,1.000000000000000,1.668311094682856,1.326935270766395,0.5597250277226807,1.668311094682856,2.980590490067261,0.7953763989195575,1.795376398919557
2,5,3,32,1.000000000000000,1.670053203634242,1.329808171037660,0.5567852188672167,1.670053203634241,2.999456787003031,0.7962669501449614,1.796266950144961
