lambda,timeout,B,time,probability_sum,p_buffer_0,p_buffer_1,p_buffer_2,p_buffer_3,p_broker_busy,p_timer_active,average_buffer,average_in_service,effective_arrival_rate,batch_completion_rate,message_completion_rate,cumulative_batches,cumulative_messages
1,3,3,0.0,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
1,3,3,0.5,1.000000000000,0.606530659713,0.393469340287,0.000000000000,0.000000000000,0.000000000000,0.393469340287,0.393469340287,0.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
1,3,3,1.0,1.000000000000,0.403371953647,0.477302437082,0.119325609271,0.000000000000,0.035492512476,0.596628046353,0.715953655624,0.106477537427,1.000000000000,0.035492512476,0.106477537427,0.008873128119,0.026619384357
1,3,3,1.5,1.000000000000,0.337410461986,0.445465616479,0.217123921535,0.000000000000,0.114280301838,0.662589538014,0.879713459548,0.342840905514,1.000000000000,0.114280301838,0.342840905514,0.046316331697,0.138948995092
1,3,3,2.0,1.000000000000,0.337628413735,0.394971252589,0.266786592489,0.000613741187,0.202293130498,0.662371586265,0.930385661128,0.606879391494,0.999386258813,0.202293130498,0.606879391494,0.125459689781,0.376379069344
1,3,3,2.5,1.000000000000,0.355734538712,0.359797488236,0.281595335145,0.002872637907,0.273649540088,0.644265461288,0.931606072246,0.820948620264,0.997127362093,0.273649540088,0.820948620264,0.244445357428,0.733336072283
1,3,3,3.0,1.000000000000,0.370148696207,0.342850591231,0.279910308349,0.007090404213,0.320361627840,0.629851303793,0.923942420567,0.961084883519,0.992909595787,0.320361627840,0.961084883519,0.392948149410,1.178844448229
1,3,3,3.5,1.000000000000,0.454877709948,0.317592879612,0.214979826788,0.012549583652,0.424680326526,0.545122290052,0.785201284145,1.176092554849,0.987450416348,0.424680326526,1.176092554849,0.579208638001,1.713138807821
1,3,3,4.0,1.000000000000,0.453696730173,0.337129363499,0.191061531961,0.018112374367,0.435381091284,0.546303269827,0.773589550523,1.179743732944,0.981887625633,0.435381091284,1.179743732944,0.794223992453,2.302097879769
1,3,3,4.5,1.000000000000,0.425921467983,0.354930041665,0.194912315686,0.024236174665,0.414812471445,0.573520031965,0.817463197034,1.121697465279,0.975763825335,0.414812471445,1.121697465279,1.006772383136,2.877458179325
1,3,3,5.0,1.000000000000,0.403638273681,0.359151267476,0.207443253701,0.029767205142,0.396908936452,0.594392606596,0.863339390303,1.079865596499,0.970232794858,0.396908936452,1.079865596499,1.209702735110,3.427848944770
1,3,3,5.5,1.000000000000,0.395219999353,0.354422952170,0.217097165116,0.033259883361,0.391167298562,0.600993232933,0.888396932485,1.072343729296,0.966740116639,0.391167298562,1.072343729296,1.406721793863,3.965901276218
1,3,3,6.0,1.000000000000,0.396411316516,0.347995371218,0.220891624283,0.034701687984,0.394005587701,0.598119541677,0.893883683734,1.086223981990,0.965298312016,0.394005587701,1.086223981990,1.603015015429,4.505543204040
1,3,3,6.5,1.000000000000,0.400668051973,0.343834940841,0.220542405956,0.034954601230,0.399280204195,0.592607824846,0.889783556442,1.104233824756,0.965045398770,0.399280204195,1.104233824756,1.801336463403,5.053157655727
1,3,3,7.0,1.000000000000,0.408695296253,0.341271632283,0.215173831605,0.034859239859,0.407936425950,0.582549460875,0.876197015070,1.124978683017,0.965140760141,0.407936425950,1.124978683017,2.003140620939,5.610460782670
1,3,3,7.5,1.000000000000,0.412198091571,0.342201719180,0.210744741770,0.034855447480,0.411845125820,0.578252063783,0.868257545158,1.132304005797,0.965144552520,0.411845125820,1.132304005797,2.208086008882,6.174781454874
1,3,3,8.0,1.000000000000,0.410978507216,0.344470175276,0.209467461253,0.035083856255,0.410875403441,0.579545944736,0.868656666548,1.128349954577,0.964916143745,0.410875403441,1.128349954577,2.413766141197,6.739944944967
1,3,3,8.5,1.000000000000,0.408089621690,0.345979616645,0.210486342545,0.035444419121,0.408130886950,0.582735261679,0.873285559097,1.121393494984,0.964555580879,0.408130886950,1.121393494984,2.618517713795,7.302380807357
1,3,3,9.0,1.000000000000,0.406007527981,0.346168185615,0.212080378335,0.035743908070,0.406129245654,0.584998571896,0.877560666493,1.117204007384,0.964256091930,0.406129245654,1.117204007384,2.822082746946,7.862030182949
1,3,3,9.5,1.000000000000,0.405423867306,0.345566145490,0.213131482363,0.035878504841,0.405591351259,0.585593727135,0.879464624739,1.116870615999,0.964121495159,0.405591351259,1.116870615999,3.025012896174,8.420548838795
1,3,3,10.0,1.000000000000,0.405830042134,0.344887346719,0.213411242275,0.035871368872,0.406025545238,0.585109182959,0.879323937885,1.118709133054,0.964128631128,0.406025545238,1.118709133054,3.227917120298,8.979443776059
1,3,3,10.5,1.000000000000,0.406753681152,0.344443381317,0.212997686590,0.035805250941,0.406967640368,0.584026148162,0.877854507319,1.121226011491,0.964194749059,0.406967640368,1.121226011491,3.431165416700,9.539427562195
1,3,3,11.0,1.000000000000,0.407441250750,0.344398626324,0.212410268933,0.035749853992,0.407668767374,0.583228963371,0.876468726168,1.122750565296,0.964250146008,0.407668767374,1.122750565296,3.634824518635,10.100421706391
1,3,3,11.5,1.000000000000,0.407578953673,0.344619867239,0.212065349467,0.035735829621,0.407815905597,0.583073114237,0.875958055036,1.122835200613,0.964264170379,0.407815905597,1.122835200613,3.838695686878,10.661818147869
1,3,3,12.0,1.000000000000,0.407328393724,0.344863641926,0.212050806987,0.035757157363,0.407570829636,0.583361118616,0.876236727988,1.122083091390,0.964242842637,0.407570829636,1.122083091390,4.042542370686,11.223047720870
1,3,3,12.5,1.000000000000,0.407009347886,0.344978280780,0.212223243596,0.035789127737,0.407254247655,0.583722933263,0.876792151185,1.121315117932,0.964210872263,0.407254247655,1.121315117932,4.246248640009,11.783897273200
1,3,3,13.0,1.000000000000,0.406829261970,0.344957215916,0.212403019440,0.035810502675,0.407074972762,0.583924531223,0.877194762820,1.120974432252,0.964189497325,0.407074972762,1.120974432252,4.449830945113,12.344469660746
1,3,3,13.5,1.000000000000,0.406816105416,0.344874914046,0.212494250633,0.035814729905,0.407062086305,0.583937510419,0.877307605029,1.121048810793,0.964185270095,0.407062086305,1.121048810793,4.653365209880,12.904975471507
1,3,3,14.0,1.000000000000,0.406909569799,0.344799976589,0.212482992767,0.035807460846,0.407155828325,0.583829261216,0.877188344660,1.121332074079,0.964192539154,0.407155828325,1.121332074079,4.856919688537,13.465570692725
